club,position,points,win,drawn,loss,played
Leicester City,1,73,21,10,3,34
Tottenham Hotspur,2,65,18,11,4,33
Manchester City,3,60,18,6,9,33
Arsenal,4,60,17,9,7,33
Manchester United,5,56,16,8,9,33
West Ham United,6,53,13,14,6,33
Southampton,7,51,14,9,11,34
Liverpool,8,51,14,9,9,32
Stoke City,9,47,13,8,12,33
Chelsea,10,44,11,11,11,33
Everton,11,41,9,14,10,33
Watford,12,41,11,8,14,33
Bournemouth,13,41,11,8,15,34
West Brom,14,40,10,10,13,33
Swansea City,15,40,10,10,14,34
Crystal Palace,16,39,10,9,15,34
Norwich City,17,31,8,7,19,34
Sunderland,18,30,7,9,17,33
Newcastle United,19,28,7,7,19,33
Aston Villa,20,16,3,7,24,34
