Week,Date,Match,Odds,Result,ShotAccuracy,Possession,PassAccuracy,Image
1,8/8/15,Leicester v Sunderland,5000,4-2 (W),53,47,74,images/Sunderland.png
2,8/15/15,West Ham v Leicester,5000,1-2 (W),63,40,68,images/WestHamUnited.png
3,8/22/15,Leicester v Tottenham,3000,1-1 (D),29,43,72,images/TottenhamHotspur.png
4,8/29/15,Bournemouth v Leicester,3000,1-1 (D),50,47,68,images/Bournemouth.png
5,9/13/15,Leicester v Aston Villa,3000,3-2 (W),40,55,77,images/AstonVilla.png
6,9/19/15,Stoke v Leicester,2500,2-2 (D),45,48,73,images/StokeCity.png
7,9/26/15,Leicester v Arsenal,2500,2-5 (L),54,47,79,images/Arsenal.png
8,10/3/15,Norwich v Leicester,2000,1-2 (W),38,42,62,images/NorwichCity.png
9,10/17/15,Southampton v Leicester,2000,2-2 (D),37,49,73,images/Southampton.png
10,10/24/15,Leicester v C Palace,2000,1-0 (W),38,50,78,images/CrystalPalace.png
11,10/31/15,West Brom v Leicester,2000,2-3 (W),63,52,71,images/WestBromwichAlbion.png
12,11/7/15,Leicester v Watford,1000,2-1 (W),60,47,70,images/Watford.png
13,11/21/15,Newcastle v Leicester,750,0-3 (W),58,48,76,images/NewcastleUnited.png
14,11/28/15,Leicester v Man Utd,350,1-1 (D),60,41,66,images/ManchesterUnited.png
15,12/5/15,Swansea v Leicester,100,0-3 (W),50,44,72,images/SwanseaCity.png
16,12/14/15,Leicester v Chelsea,40,2-1 (W),63,41,60,images/Chelsea.png
17,12/19/15,Everton v Leicester,33,2-3 (W),50,42,63,images/Everton.png
18,12/26/15,Liverpool v Leicester,20,1-0 (L),50,42,59,images/Liverpool.png
19,12/29/15,Leicester v Man City,16,0-0 (D),36,44,63,images/ManchesterCity.png
20,1/2/16,Leicester v Bournemouth,18,0-0 (D),14,51,79,images/Bournemouth.png
21,1/13/16,Tottenham v Leicester,28,0-1 (W),40,44,64,images/TottenhamHotspur.png
22,1/16/16,Aston Villa v Leicester,14,1-1 (D),50,46,72,images/AstonVilla.png
23,1/23/16,Leicester v Stoke,16,3-0 (W),42,49,72,images/StokeCity.png
24,2/2/16,Leicester v Liverpool,11,2-0 (W),60,44,65,images/Liverpool.png
25,2/6/16,Man City v Leicester,5.5,1-3 (W),58,40,67,images/ManchesterCity.png
26,2/14/16,Arsenal v Leicester,2.2,2-1 (L),43,37,64,images/Arsenal.png
27,2/27/16,Leicester v Norwich,3.33,1-0 (W),38,53,73,images/NorwichCity.png
28,3/1/16,Leicester v West Brom,2.4,2-2 (D),27,58,77,images/WestBromwichAlbion.png
29,3/5/16,Watford v Leicester,1.75,0-1 (W),50,50,76,images/Watford.png
30,3/14/16,Leicester v Newcastle,1.25,1-0 (W),25,50,79,images/NewcastleUnited.png
31,3/19/16,C Palace v Leicester,1,0-1 (W),50,47,70,images/CrystalPalace.png
32,4/3/16,Leicester v Southampton,0.62,1-0 (W),67,48,74,images/Southampton.png
33,4/10/16,Sunderland v Leicester,0.36,0-2 (W),50,51,73,images/Sunderland.png
34,4/17/16,Leicester v West Ham,0.25,2-2 (D),33,45,70,images/WestHamUnited.png
